REVISION_ID,REVISION_SESSION_ID,USER_COUNTRY_CODE,USER_CONTINENT_CODE,USER_TIME_ZONE,USER_REGION_CODE,USER_CITY_NAME,USER_COUNTY_NAME,REVISION_TAGS
16,16,,,,,,,
19,19,,,,,,,
20,16,,,,,,,
21,16,,,,,,,
22,22,,,,,,,
24,24,,,,,,,
25,25,DE,EU,GMT+1,BE,BERLIN,,
26,24,,,,,,,
27,22,,,,,,,
28,24,,,,,,,
29,24,,,,,,,
30,22,,,,,,,
31,24,,,,,,,
32,24,,,,,,,
34,24,,,,,,,
35,16,,,,,,,
36,16,,,,,,,
37,16,,,,,,,
38,16,,,,,,,
39,39,,,,,,,
40,39,,,,,,,
41,39,,,,,,,
42,39,,,,,,,
43,39,,,,,,,
44,39,,,,,,,
45,39,,,,,,,
46,39,,,,,,,
47,39,,,,,,,
48,39,,,,,,,
49,39,,,,,,,
50,50,,,,,,,
51,50,,,,,,,
52,50,,,,,,,
53,53,,,,,,,
54,54,EE,EU,GMT+2,,TARTU,,
55,55,,,,,,,
56,56,EE,EU,GMT+2,,TARTU,,
57,57,,,,,,,
58,58,EE,EU,GMT+2,,TARTU,,
60,60,,,,,,,
61,61,,,,,,,
62,61,,,,,,,
63,63,,,,,,,
64,63,,,,,,,
65,63,,,,,,,
66,63,,,,,,,
67,63,,,,,,,
68,63,,,,,,,
69,63,,,,,,,
70,63,,,,,,,
71,71,EE,EU,GMT+2,,TARTU,,
72,72,,,,,,,
73,73,,,,,,,
74,74,,,,,,,
75,74,,,,,,,
76,76,,,,,,,
77,77,,,,,,,
78,78,,,,,,,
79,79,,,,,,,
80,80,,,,,,,
81,81,,,,,,,
82,82,,,,,,,
83,80,,,,,,,
84,79,,,,,,,
85,79,,,,,,,
86,86,,,,,,,
87,86,,,,,,,
88,86,,,,,,,
89,89,,,,,,,
90,89,,,,,,,
91,91,,,,,,,
92,92,,,,,,,
93,92,,,,,,,
94,94,,,,,,,
95,95,,,,,,,
96,94,,,,,,,
97,97,,,,,,,
98,97,,,,,,,
99,97,,,,,,,
100,97,,,,,,,
101,97,,,,,,,
102,102,DE,EU,GMT+1,BE,BERLIN,,
121,95,,,,,,,
122,95,,,,,,,
123,123,,,,,,,
124,124,,,,,,,
125,125,,,,,,,
126,126,,,,,,,
127,127,,,,,,,
128,128,,,,,,,
129,129,,,,,,,
130,130,,,,,,,
131,131,,,,,,,
132,132,,,,,,,
133,133,,,,,,,
134,134,,,,,,,
135,133,,,,,,,
136,136,,,,,,,
138,133,,,,,,,
