REVISION_ID,ROLLBACK_REVERTED,UNDO_RESTORE_REVERTED
16,F,F
19,F,F
20,F,F
21,F,F
22,F,F
24,F,F
25,F,F
26,F,F
27,F,F
28,F,F
29,F,F
30,F,F
31,F,F
32,F,F
34,F,F
35,F,F
36,F,F
37,F,F
38,F,F
39,F,F
40,F,F
41,F,F
42,F,F
43,F,F
44,F,F
45,F,F
46,F,F
47,F,F
48,F,F
49,F,F
50,F,F
51,F,F
52,F,F
53,F,F
54,F,F
55,F,F
56,F,F
57,F,F
58,F,F
60,F,F
61,F,F
62,F,F
63,F,F
64,F,F
65,F,F
66,F,F
67,F,F
68,F,F
69,F,F
70,F,F
71,F,F
72,F,F
73,F,F
74,F,F
75,F,F
76,F,F
77,F,F
78,F,F
79,F,F
80,F,F
81,F,F
82,F,F
83,F,F
84,F,F
85,F,F
86,F,F
87,F,F
88,F,F
89,F,F
90,F,F
91,F,F
92,F,F
93,F,F
94,F,F
95,F,F
96,F,F
97,F,F
98,F,F
99,F,F
100,F,F
101,F,F
102,F,F
121,F,F
122,F,F
123,F,F
124,F,F
125,F,F
126,F,F
127,F,F
128,F,F
129,F,F
130,F,F
131,F,F
132,F,F
133,F,F
134,F,F
135,F,F
136,F,F
138,F,F
